2026-03-11 15:09:03 |WARN  |not.a.Spring.bean-2081 |SimpleMessageListenerContainer.java:1593 |org.springframework.amqp.rabbit.listener.SimpleMessageListenerContainer |Consumer raised exception, processing can restart if the connection factory supports it. Exception summary: org.springframework.amqp.AmqpConnectException: java.net.ConnectException: Connection refused: no further information
2026-03-11 15:09:05 |WARN  |not.a.Spring.bean-2082 |SimpleMessageListenerContainer.java:1593 |org.springframework.amqp.rabbit.listener.SimpleMessageListenerContainer |Consumer raised exception, processing can restart if the connection factory supports it. Exception summary: org.springframework.amqp.AmqpConnectException: java.net.ConnectException: Connection refused: no further information
2026-03-11 15:09:07 |WARN  |not.a.Spring.bean-2083 |SimpleMessageListenerContainer.java:1593 |org.springframework.amqp.rabbit.listener.SimpleMessageListenerContainer |Consumer raised exception, processing can restart if the connection factory supports it. Exception summary: org.springframework.amqp.AmqpConnectException: java.net.ConnectException: Connection refused: no further information
2026-03-11 15:09:09 |WARN  |not.a.Spring.bean-2084 |SimpleMessageListenerContainer.java:1593 |org.springframework.amqp.rabbit.listener.SimpleMessageListenerContainer |Consumer raised exception, processing can restart if the connection factory supports it. Exception summary: org.springframework.amqp.AmqpConnectException: java.net.ConnectException: Connection refused: no further information
2026-03-11 15:09:11 |WARN  |not.a.Spring.bean-2085 |SimpleMessageListenerContainer.java:1593 |org.springframework.amqp.rabbit.listener.SimpleMessageListenerContainer |Consumer raised exception, processing can restart if the connection factory supports it. Exception summary: org.springframework.amqp.AmqpConnectException: java.net.ConnectException: Connection refused: no further information
2026-03-11 15:09:14 |WARN  |not.a.Spring.bean-2086 |SimpleMessageListenerContainer.java:1593 |org.springframework.amqp.rabbit.listener.SimpleMessageListenerContainer |Consumer raised exception, processing can restart if the connection factory supports it. Exception summary: org.springframework.amqp.AmqpConnectException: java.net.ConnectException: Connection refused: no further information
2026-03-11 15:09:16 |WARN  |not.a.Spring.bean-2087 |SimpleMessageListenerContainer.java:1593 |org.springframework.amqp.rabbit.listener.SimpleMessageListenerContainer |Consumer raised exception, processing can restart if the connection factory supports it. Exception summary: org.springframework.amqp.AmqpConnectException: java.net.ConnectException: Connection refused: no further information
2026-03-11 15:09:18 |WARN  |not.a.Spring.bean-2088 |SimpleMessageListenerContainer.java:1593 |org.springframework.amqp.rabbit.listener.SimpleMessageListenerContainer |Consumer raised exception, processing can restart if the connection factory supports it. Exception summary: org.springframework.amqp.AmqpConnectException: java.net.ConnectException: Connection refused: no further information
2026-03-11 15:09:20 |WARN  |not.a.Spring.bean-2089 |SimpleMessageListenerContainer.java:1593 |org.springframework.amqp.rabbit.listener.SimpleMessageListenerContainer |Consumer raised exception, processing can restart if the connection factory supports it. Exception summary: org.springframework.amqp.AmqpConnectException: java.net.ConnectException: Connection refused: no further information
2026-03-11 15:09:23 |WARN  |not.a.Spring.bean-2090 |SimpleMessageListenerContainer.java:1593 |org.springframework.amqp.rabbit.listener.SimpleMessageListenerContainer |Consumer raised exception, processing can restart if the connection factory supports it. Exception summary: org.springframework.amqp.AmqpConnectException: java.net.ConnectException: Connection refused: no further information
2026-03-11 15:09:25 |WARN  |not.a.Spring.bean-2091 |SimpleMessageListenerContainer.java:1593 |org.springframework.amqp.rabbit.listener.SimpleMessageListenerContainer |Consumer raised exception, processing can restart if the connection factory supports it. Exception summary: org.springframework.amqp.AmqpConnectException: java.net.ConnectException: Connection refused: no further information
2026-03-11 15:09:27 |WARN  |not.a.Spring.bean-2092 |SimpleMessageListenerContainer.java:1593 |org.springframework.amqp.rabbit.listener.SimpleMessageListenerContainer |Consumer raised exception, processing can restart if the connection factory supports it. Exception summary: org.springframework.amqp.AmqpConnectException: java.net.ConnectException: Connection refused: no further information
2026-03-11 15:09:29 |WARN  |not.a.Spring.bean-2093 |SimpleMessageListenerContainer.java:1593 |org.springframework.amqp.rabbit.listener.SimpleMessageListenerContainer |Consumer raised exception, processing can restart if the connection factory supports it. Exception summary: org.springframework.amqp.AmqpConnectException: java.net.ConnectException: Connection refused: no further information
2026-03-11 15:09:31 |WARN  |not.a.Spring.bean-2094 |SimpleMessageListenerContainer.java:1593 |org.springframework.amqp.rabbit.listener.SimpleMessageListenerContainer |Consumer raised exception, processing can restart if the connection factory supports it. Exception summary: org.springframework.amqp.AmqpConnectException: java.net.ConnectException: Connection refused: no further information
2026-03-11 15:09:33 |WARN  |not.a.Spring.bean-2095 |SimpleMessageListenerContainer.java:1593 |org.springframework.amqp.rabbit.listener.SimpleMessageListenerContainer |Consumer raised exception, processing can restart if the connection factory supports it. Exception summary: org.springframework.amqp.AmqpConnectException: java.net.ConnectException: Connection refused: no further information
2026-03-11 15:09:36 |WARN  |not.a.Spring.bean-2096 |SimpleMessageListenerContainer.java:1593 |org.springframework.amqp.rabbit.listener.SimpleMessageListenerContainer |Consumer raised exception, processing can restart if the connection factory supports it. Exception summary: org.springframework.amqp.AmqpConnectException: java.net.ConnectException: Connection refused: no further information
